id,building_name,class_field,name,korname
ade0a196,6집 6호 동아일보사사옥,Location,경성부 광화문통(光化門通),경성부 광화문통(光化門通)
9e82b1f2,6집 6호 동아일보사사옥,TotalArea,473평 1홉,473평 1홉
9bd1eeb2,6집 6호 동아일보사사옥,TotalArea,40평,40평
524a9313,6집 6호 동아일보사사옥,TotalArea,140평,140평
76daaf8e,6집 6호 동아일보사사옥,TotalArea,141평 4홉,141평 4홉
0745fb17,6집 6호 동아일보사사옥,TotalArea,141평 4홉,141평 4홉
13be1352,6집 6호 동아일보사사옥,TotalArea,3평 7홉,3평 7홉
7a67d283,6집 6호 동아일보사사옥,TotalArea,6평 6홉,6평 6홉
1c4c7d9e,6집 6호 동아일보사사옥,StartDate,1925년 9월 27일,1925년 9월 27일
6367a2ce,6집 6호 동아일보사사옥,EndDate,1927년 12월 말일,1927년 12월 말일
91e15a20,6집 6호 동아일보사사옥,Floors,4층,4층
d4c66458,6집 6호 동아일보사사옥,Height,48척 1촌 5분,48척 1촌 5분
06e28ec9,6집 6호 동아일보사사옥,Facility,난방기관실,난방기관실
2edd1855,6집 6호 동아일보사사옥,Facility,전화교환실,전화교환실
14b1d64b,6집 6호 동아일보사사옥,Structure,철근콘크리트,철근콘크리트
4f838a9e,6집 6호 동아일보사사옥,Material,벽돌,벽돌
d8ffec14,6집 6호 동아일보사사옥,Material,벽돌,벽돌
32d6b206,6집 6호 동아일보사사옥,Structure,콘크리트철근 블록,콘크리트철근 블록
6dbeb35c,6집 6호 동아일보사사옥,Material,석재,석재
6d02bb47,6집 6호 동아일보사사옥,Material,화장 타일,화장 타일
80bb0193,6집 6호 동아일보사사옥,Material,인조석,인조석
0c1ba800,6집 6호 동아일보사사옥,Material,화강암,화강암
c52e3fca,6집 6호 동아일보사사옥,Material,테라코타,테라코타
39b492d6,6집 6호 동아일보사사옥,Material,티크,티크
5174e2d0,6집 6호 동아일보사사옥,Material,벚나무재,벚나무재
1b3b21b2,6집 6호 동아일보사사옥,Material,대리석,대리석
4395aa2e,6집 6호 동아일보사사옥,Material,타일,타일
ad320789,6집 6호 동아일보사사옥,Material,대리석,대리석
d0c655e8,6집 6호 동아일보사사옥,Material,회반죽,회반죽
070e7deb,6집 6호 동아일보사사옥,Material,타일,타일
8e44a95f,6집 6호 동아일보사사옥,Material,모르타르,모르타르
593c91de,6집 6호 동아일보사사옥,Material,리놀륨,리놀륨
211cd23e,6집 6호 동아일보사사옥,Material,인조석,인조석
a8033594,6집 6호 동아일보사사옥,Material,리놀륨,리놀륨
85c3742c,6집 6호 동아일보사사옥,Material,회반죽,회반죽
b59af248,6집 6호 동아일보사사옥,Material,석고,석고
c51c445e,6집 6호 동아일보사사옥,Supplier,건철회사(建鐵會社),건철회사(建鐵會社)
fbd9b2d7,6집 6호 동아일보사사옥,Material,티크,티크
9d7412a2,6집 6호 동아일보사사옥,Material,목재,목재
bc483fa7,6집 6호 동아일보사사옥,Supplier,미국 에일회사(エール會社),미국 에일회사(エール會社)
66fde5e1,6집 6호 동아일보사사옥,Structure,철근콘크리트,철근콘크리트
bbe1d75b,6집 6호 동아일보사사옥,Material,인조석,인조석
520ccb83,6집 6호 동아일보사사옥,Material,티크재,티크재
2f1fe15b,6집 6호 동아일보사사옥,Facility,전기 설비,전기 설비
fff7bad8,6집 6호 동아일보사사옥,Facility,실내 전화 설비,실내 전화 설비
4fbbed51,6집 6호 동아일보사사옥,Facility,교환실,교환실
400cd432,6집 6호 동아일보사사옥,Facility,전화 교환기,전화 교환기
5afa30c8,6집 6호 동아일보사사옥,Facility,난방 설비,난방 설비
81df344e,6집 6호 동아일보사사옥,Facility,증기난방 장치,증기난방 장치
40b920b1,6집 6호 동아일보사사옥,Supplier,아메리칸 라디에이터 회사,아메리칸 라디에이터 회사
8408c064,6집 6호 동아일보사사옥,Facility,위생 설비,위생 설비
609f514c,6집 6호 동아일보사사옥,Facility,정화조,정화조
3f15454e,6집 6호 동아일보사사옥,Facility,급수 설비,급수 설비
ce3d1d7d,6집 6호 동아일보사사옥,Facility,피뢰 설비,피뢰 설비
78d3281c,6집 6호 동아일보사사옥,Facility,전기 시계 설비,전기 시계 설비
577139f9,6집 6호 동아일보사사옥,Facility,전기 시계,전기 시계
b594c3d6,13집 10호 서대문우편국,Location,경성부 죽첨정2정목(竹添町2丁目) 8번지 2,경성부 죽첨정2정목(竹添町2丁目) 8번지 2
93ee19d1,13집 10호 서대문우편국,SiteArea,"1,696.695㎡ (514평 15)","1,696.695㎡ (514평 15)"
d77cb574,13집 10호 서대문우편국,StartDate,1934년 5월 14일,1934년 5월 14일
7d3e5258,13집 10호 서대문우편국,EndDate,1934년 10월 29일,1934년 10월 29일
833136e9,13집 10호 서대문우편국,Height,10.24m (33척 7분 9린),10.24m (33척 7분 9린)
02f68477,13집 10호 서대문우편국,Height,20.0m (66.0척),20.0m (66.0척)
35c4386a,13집 10호 서대문우편국,Floors,2층,2층
45103e51,13집 10호 서대문우편국,TotalArea,573.38㎡ (173평 75),573.38㎡ (173평 75)
b8828aaa,13집 10호 서대문우편국,TotalArea,126.00㎡ (38평 18),126.00㎡ (38평 18)
bd6a6a26,13집 10호 서대문우편국,TotalArea,26.00㎡ (7평 87),26.00㎡ (7평 87)
e7c0dbf1,13집 10호 서대문우편국,TotalArea,19.40㎡ (5평 87),19.40㎡ (5평 87)
53d2bf63,13집 10호 서대문우편국,TotalArea,61.56㎡ (18평 65),61.56㎡ (18평 65)
5cbb4b7a,13집 10호 서대문우편국,TotalArea,15.00㎡ (4평 54),15.00㎡ (4평 54)
05742569,13집 10호 서대문우편국,TotalArea,36.00㎡ (10평 90),36.00㎡ (10평 90)
7237155b,13집 10호 서대문우편국,TotalArea,408.19㎡ (123평 69),408.19㎡ (123평 69)
3d591dcb,13집 10호 서대문우편국,Facility,전화실,전화실
fc85e7f4,13집 10호 서대문우편국,TotalArea,165.19㎡ (50평 04),165.19㎡ (50평 04)
3092f8f1,13집 10호 서대문우편국,TotalArea,283.96㎡ (86평 01),283.96㎡ (86평 01)
1f915922,13집 10호 서대문우편국,Facility,난방기관실,난방기관실
c76e434e,13집 10호 서대문우편국,Structure,철근콘크리트조,철근콘크리트조
1a6fcfa4,13집 10호 서대문우편국,Material,타일,타일
bffb3e18,13집 10호 서대문우편국,Material,모르타르,모르타르
1c5a3fab,13집 10호 서대문우편국,Material,비늘판,비늘판
297dff6e,13집 10호 서대문우편국,Material,회반죽,회반죽
505c82e0,13집 10호 서대문우편국,Material,회반죽,회반죽
531049c5,13집 10호 서대문우편국,Material,모르타르,모르타르
987560bf,13집 10호 서대문우편국,Material,인조석,인조석
a2bee0be,13집 10호 서대문우편국,Material,리놀륨,리놀륨
f7ca8b56,13집 10호 서대문우편국,Material,마루,마루
bc14f48e,13집 10호 서대문우편국,Material,모르타르,모르타르
23005bec,13집 10호 서대문우편국,Material,졸참나무재,졸참나무재
1d0d8f71,13집 10호 서대문우편국,Material,조선 테라조,조선 테라조
b2e0a157,13집 10호 서대문우편국,Material,나무판,나무판
67401caa,13집 10호 서대문우편국,Material,회반죽,회반죽
c26bb08c,13집 10호 서대문우편국,Material,징두리널,징두리널
40bfa800,13집 10호 서대문우편국,Material,타일,타일
a72f43ec,13집 10호 서대문우편국,Material,모르타르,모르타르
e2ad19eb,13집 10호 서대문우편국,Material,모자이크타일,모자이크타일
fa59355c,13집 10호 서대문우편국,Facility,난방기관실,난방기관실
a3dc719d,13집 10호 서대문우편국,Material,회반죽,회반죽
ea4cbeca,13집 10호 서대문우편국,Material,회반죽,회반죽
f8b85a35,13집 10호 서대문우편국,Material,모르타르,모르타르
f709b5de,13집 10호 서대문우편국,Material,모르타르,모르타르
9d7e30e5,13집 10호 서대문우편국,Facility,난방설비,난방설비
edd84d9d,13집 10호 서대문우편국,Facility,중력 2관식 저압증기난방,중력 2관식 저압증기난방
94a3290e,13집 10호 서대문우편국,Supplier,후쿠오카[福岡]제등제작소(齋藤製作所),후쿠오카[福岡]제등제작소(齋藤製作所)
809f9325,13집 10호 서대문우편국,Facility,전기 설비,전기 설비
4d72511c,13집 10호 서대문우편국,Structure,철근콘크리트,철근콘크리트
02e1a46f,13집 10호 서대문우편국,Structure,목조,목조
65a2e1d6,13집 10호 서대문우편국,Facility,전기시계,전기시계
f14ce4f1,13집 10호 서대문우편국,Supplier,웅공사(雄工社),웅공사(雄工社)
52144d43,13집 10호 서대문우편국,Cost,"55,814엔","55,814엔"
